year,date,talk,organizer,event,event_link,recording_link,sm_link,image_link,type,location,language,abstract,tags
2025,2025-03-10,SomosNLP: Promoting NLP in Ibero America,KHIPU,KHIPU 2025,,,https://www.linkedin.com/posts/viviana-cotik-4815046_english-below-la-semana-pasada-tuve-el-activity-7308497550905401346-86Iz,images/events/20250310_khipu.png,Presentation,"Santiago de Chile, Chile 🇨🇱",Spanish,,
2025,2025-02,Promoting inclusive NLP: Why and how to engage the community,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),,,,images/logos/MBZUAI.png,Talk,"Abu Dhabi, UAE 🇦🇪",English,"As language technologies become deeply integrated into society, it is essential to ensure they represent the linguistic and cultural diversity of the global community. In recent years, there has been increasing interest in the creation of multilingual datasets, often developed through international and cross-institutional collaborations.
In this presentation, María will provide an overview of community-driven efforts to promote inclusive Large Language Models (LLMs). As the founder of SomosNLP—the largest open-source community for Spanish-speaking NLP practitioners—a Hugging Face Fellow, and a contributor to multilingual projects such as BLOOM and the INCLUDE benchmark, she will share insights into the challenges and benefits of involving the community in building responsible LLMs.
The talk will cover best practices for effectively engaging diverse communities in NLP projects and highlight ongoing collaborative initiatives that attendees may be interested in joining.","Inclusive NLP, Community, 🇦🇪"
2024,2024-12-17,Evaluation of Large Language Models (LLMs),Universidad Politécnica de Madrid,"Universidad Politécnica de Madrid (UPM), Entaina, IEEE - Sección España & SomosNLP",https://somosnlp.org/blog/evento-eval-llm-upm,,,images/events/241217_evaluacion_llms_upm.png,Workshop,"Madrid, Spain 🇪🇸",Spanish,Universidad Politécnica de Madrid,Inclusive AI
2024,2024-12-18,2024: The Year of AI,Carne Cruda,Carne Cruda | Mundos Posibles,,https://www.eldiario.es/carnecruda/programas/ia-no-lista-todavia_132_11909156.html,,images/events/241218_carne_cruda_1.png,Radio (Featured),Spain (Remote) 🇪🇸,Spanish,Carne Cruda,Inclusive AI
2024,2024-12-14,Synthetic Data Generation and LLM Evaluation,Universidad Nacional Autónoma de México (UNAM),Universidad Nacional Autónoma de México (UNAM) | Bachelor's Degree in Data Science for Social Sciences and Humanities,https://www.acatlan.unam.mx/index.php?id=1805,,,images/events/241214_unam_header.png,Guest Lecture,Mexico (Remote) 🇲🇽,Spanish,"Diplomado ""Introducción a la Ciencia de Datos: Herramientas para el Aprendizaje Automatizado en las Ciencias Sociales y Humanidades""","Synthetic Data, LLM Evaluation"
2024,2024-11-30,Open-Source Responsible AI with Hugging Face,EFELIA Côte d'Azur,EFELIA Côte d'Azur | Hackathon Soc[IA]l 2024,https://univ-cotedazur.fr/efelia-cote-dazur/hackathon-social-2024-efelia-cote-dazur,,,images/events/241130_hackathon_efelia.png,Workshop,"Nice, France (Hybrid) 🇫🇷",English,EFELIA Côte d'Azur,Inclusive AI
2024,2024-11-22,Lottery and Artificial Intelligence: AI cannot predict the winning ticket and it's not a matter of time,Radio Televisión Española (RTVE),Radio Televisión Española (RTVE),,https://www.rtve.es/rtve/20241122/loteria-navidad-2024-por-que-chatgpt-no-puede-predecir-ganador/16331285.shtml,https://www.linkedin.com/posts/mariagrandury_ia-activity-7265744033543569408-mZ5l,images/events/241122_loteria_rtve.jpeg,Article (Featured),Spain (Remote) 🇪🇸,Spanish,Artículo de Radio Televisión Española: Lotería de Navidad e Inteligencia Artificial: la IA no puede predecir el número ganador y no es cuestión de tiempo,NLP
2024,2024-11-13,"Interview with María Grandury: AI does not think, that's marketing","Cadena SER, Radio Bierzo","Cadena SER, Radio Bierzo",,https://cadenaser.com/castillayleon/2024/11/13/maria-grandury-experta-en-ia-la-inteligencia-artificial-no-piensa-eso-es-marketing-radio-bierzo/,https://www.linkedin.com/posts/mariagrandury_mi-primera-entrevista-en-la-radio-siempre-activity-7262818610593550336-EsLS,images/events/241113_entrevista_radio_bierzo.jpg,Radio Interview,"El Bierzo, Spain 🇪🇸",Spanish,Entrevista en Radio Bierzo,NLP
2024,2024-11-01,AI Value Chain Workshop: Fostering Responsible Innovation in Open-Source AI. Led by: Laura Galindo-Romero (Meta),"AI Policy Summit 2024, RegHorizon & ETH","AI Policy Summit 2024, RegHorizon & ETH | Invitation-Only Workshop",https://reghorizon.com/ai-policy-summit-2024/,,,images/events/241101_ai_policy_summit.jpg,Workshop Attendee,"Zurich, Switzerland 🇨🇭",English,AI Policy Summit 2024,AI Policy
2024,2024-10-29,The technology that makes us dream,Prodigioso Volcán,Prodigioso Volcán | IA Bajo el Volcán,https://eventos.prodigiosovolcan.com/evento/iabajoelvolcan/,,https://www.linkedin.com/posts/sergiogonzalezjimenez_great-session-yesterday-organized-by-prodigioso-activity-7257423983296331776-_5Xx,images/events/241029_prodigioso_volcan_2.jpg,Round Table,"Madrid, Spain 🇪🇸",Spanish,Prodigioso Volcán,Inclusive AI
2024,2024-08-19,Técnicas avanzadas y aplicaciones de NLP. Alineamiento y evaluación de LLMs.,Universidad Internacional de Andalucía,Universidad Internacional de Andalucía,,,,images/events/240819_unia.jpeg,Summer School Masterclass,"Baeza, Spain 🇪🇸",Spanish,"
Técnicas avanzadas y aplicaciones de PLN: Cuantización, extracción de información de documentos y RAG (María & Manu)

Evaluación y alineación de LLMs generativos (María)

","AI Alignment, LLM Evaluation"
2024,2024-07-02,European LLM Multilingual Evaluation Expert Workshop,European Commission & European Language Data Space,European Commission & European Language Data Space | Invitation-Only Discussion,https://ec.europa.eu/newsroom/lds/items/839625/en,,,images/events/240702_european_language_data_space.jpeg,Workshop,EU (Remote) 🇪🇺,English,European LLM Multilingual Evaluation Expert Workshop,"Responsible AI, Explainable AI"
